ACN,Enzyme,Substrate,NH4Br,MES,H2O2,Vanadat,t,Fraction
0.5,0.5,10.0,70.0,50.0,10.0,0.25,2,1.17884127022871
0.5,0.5,10.0,70.0,50.0,10.0,0.25,102,17.5510911142459
0.5,0.5,10.0,70.0,50.0,10.0,0.25,202,31.3918740761772
0.5,0.5,10.0,70.0,50.0,10.0,0.25,302,39.0381755444415
0.5,0.5,10.0,70.0,50.0,10.0,0.25,402,45.1452468980473
0.5,0.5,10.0,70.0,50.0,10.0,0.25,502,49.5702904420621
0.5,0.5,10.0,70.0,50.0,10.0,0.25,602,52.6862688083097
0.5,0.5,10.0,70.0,50.0,10.0,0.25,702,53.6309028952699
0.5,0.5,10.0,70.0,50.0,10.0,0.5,2,0.946783187825869
0.5,0.5,10.0,70.0,50.0,10.0,0.5,102,14.7488309847532
0.5,0.5,10.0,70.0,50.0,10.0,0.5,202,27.933050552099
0.5,0.5,10.0,70.0,50.0,10.0,0.5,302,37.7320310447695
0.5,0.5,10.0,70.0,50.0,10.0,0.5,402,44.9845307232627
0.5,0.5,10.0,70.0,50.0,10.0,0.5,502,47.965944678964
0.5,0.5,10.0,70.0,50.0,10.0,0.5,602,52.7200521737306
0.5,0.5,10.0,70.0,50.0,10.0,0.5,702,55.5108577174558
0.5,0.5,10.0,35.0,50.0,10.0,1.0,2,0.705016599091705
0.5,0.5,10.0,35.0,50.0,10.0,1.0,102,18.4105141936198
0.5,0.5,10.0,35.0,50.0,10.0,1.0,202,37.0668739714158
0.5,0.5,10.0,35.0,50.0,10.0,1.0,302,50.3367135933075
0.5,0.5,10.0,35.0,50.0,10.0,1.0,402,52.3578024724143
0.5,0.5,10.0,35.0,50.0,10.0,1.0,502,53.0742004641758
0.5,0.5,10.0,35.0,50.0,10.0,1.0,602,53.8351132176637
0.5,0.5,10.0,35.0,50.0,10.0,1.0,702,54.7656283607481
0.5,0.5,10.0,70.0,50.0,10.0,1.5,2,1.04202288361064
0.5,0.5,10.0,70.0,50.0,10.0,1.5,102,15.9391709039197
0.5,0.5,10.0,70.0,50.0,10.0,1.5,202,30.1702310328446
0.5,0.5,10.0,70.0,50.0,10.0,1.5,302,40.0177266323585
0.5,0.5,10.0,70.0,50.0,10.0,1.5,402,43.6457871742076
0.5,0.5,10.0,70.0,50.0,10.0,1.5,502,44.572809108126
0.5,0.5,10.0,70.0,50.0,10.0,1.5,602,45.4985128690904
0.5,0.5,10.0,70.0,50.0,10.0,1.5,702,45.9444433778353
0.4,0.5,10.0,17.5,50.0,10.0,1.0,2,0.0879847714134499
0.4,0.5,10.0,17.5,50.0,10.0,1.0,102,22.094817607835
0.4,0.5,10.0,17.5,50.0,10.0,1.0,202,43.1504025918359
0.4,0.5,10.0,17.5,50.0,10.0,1.0,302,56.9250734978313
0.4,0.5,10.0,17.5,50.0,10.0,1.0,402,60.2037565599268
0.4,0.5,10.0,17.5,50.0,10.0,1.0,502,60.702762694421
0.4,0.5,10.0,17.5,50.0,10.0,1.0,602,61.6760789067562
0.4,0.5,10.0,17.5,50.0,10.0,1.0,702,62.2553375525625
0.4,0.5,10.0,35.0,50.0,10.0,1.0,2,-0.0507800143229594
0.4,0.5,10.0,35.0,50.0,10.0,1.0,102,13.8013725848211
0.4,0.5,10.0,35.0,50.0,10.0,1.0,202,31.9758739733728
0.4,0.5,10.0,35.0,50.0,10.0,1.0,302,49.3798072061223
0.4,0.5,10.0,35.0,50.0,10.0,1.0,402,58.6223112055852
0.4,0.5,10.0,35.0,50.0,10.0,1.0,502,59.5544638916111
0.4,0.5,10.0,35.0,50.0,10.0,1.0,602,60.4374838617376
0.4,0.5,10.0,35.0,50.0,10.0,1.0,702,61.4116024807173
0.5,0.5,10.0,17.5,50.0,10.0,1.0,2,0.45545071313891
0.5,0.5,10.0,17.5,50.0,10.0,1.0,102,18.7624535588095
0.5,0.5,10.0,17.5,50.0,10.0,1.0,202,40.3778976218193
0.5,0.5,10.0,17.5,50.0,10.0,1.0,302,58.4442029239367
0.5,0.5,10.0,17.5,50.0,10.0,1.0,402,61.8496287816157
0.5,0.5,10.0,17.5,50.0,10.0,1.0,502,62.6368380107494
0.5,0.5,10.0,17.5,50.0,10.0,1.0,602,63.2872666799522
0.5,0.5,10.0,17.5,50.0,10.0,1.0,702,64.2603487961449
0.5,0.5,10.0,52.5,50.0,10.0,1.0,2,0.394705986008457
0.5,0.5,10.0,52.5,50.0,10.0,1.0,102,16.9005391191109
0.5,0.5,10.0,52.5,50.0,10.0,1.0,202,27.9598765021195
0.5,0.5,10.0,52.5,50.0,10.0,1.0,302,38.8560861432479
0.5,0.5,10.0,52.5,50.0,10.0,1.0,402,46.4196959835297
0.5,0.5,10.0,52.5,50.0,10.0,1.0,502,51.521608397808
0.5,0.5,10.0,52.5,50.0,10.0,1.0,602,57.3622103602639
0.5,0.5,10.0,52.5,50.0,10.0,1.0,702,57.3549362237581
0.4,0.5,10.0,10.0,50.0,10.0,1.0,2,0.378930237619241
0.4,0.5,10.0,10.0,50.0,10.0,1.0,102,21.6013549885553
0.4,0.5,10.0,10.0,50.0,10.0,1.0,202,44.180390655402
0.4,0.5,10.0,10.0,50.0,10.0,1.0,302,56.7345936497436
0.4,0.5,10.0,10.0,50.0,10.0,1.0,402,57.9235142214879
0.4,0.5,10.0,10.0,50.0,10.0,1.0,502,59.4585308135771
0.4,0.5,10.0,10.0,50.0,10.0,1.0,602,60.6845828028607
0.4,0.5,10.0,10.0,50.0,10.0,1.0,702,61.8706747613138
0.4,0.5,10.0,17.5,50.0,5.0,1.0,2,0.295160695074084
0.4,0.5,10.0,17.5,50.0,5.0,1.0,102,17.3616532994383
0.4,0.5,10.0,17.5,50.0,5.0,1.0,202,25.855449940191
0.4,0.5,10.0,17.5,50.0,5.0,1.0,302,28.1221634988439
0.4,0.5,10.0,17.5,50.0,5.0,1.0,402,30.2165613959883
0.4,0.5,10.0,17.5,50.0,5.0,1.0,502,31.771838997296
0.4,0.5,10.0,17.5,50.0,5.0,1.0,602,33.1910597521305
0.4,0.5,10.0,17.5,50.0,5.0,1.0,702,34.5578533180136
0.4,0.5,10.0,17.5,50.0,20.0,1.0,2,0.36453916519163
0.4,0.5,10.0,17.5,50.0,20.0,1.0,102,21.3740369378341
0.4,0.5,10.0,17.5,50.0,20.0,1.0,202,39.5446372182178
0.4,0.5,10.0,17.5,50.0,20.0,1.0,302,60.4550360650762
0.4,0.5,10.0,17.5,50.0,20.0,1.0,402,76.8435049559229
0.4,0.5,10.0,17.5,50.0,20.0,1.0,502,88.9910437162426
0.4,0.5,10.0,17.5,50.0,20.0,1.0,602,97.6398947096322
0.4,0.5,10.0,17.5,50.0,20.0,1.0,702,100.056833911338
0.4,0.5,10.0,17.5,50.0,30.0,1.0,2,0.407011908443808
0.4,0.5,10.0,17.5,50.0,30.0,1.0,102,23.7686537631372
0.4,0.5,10.0,17.5,50.0,30.0,1.0,202,49.0466440490527
0.4,0.5,10.0,17.5,50.0,30.0,1.0,302,70.6391908452717
0.4,0.5,10.0,17.5,50.0,30.0,1.0,402,85.7790221068316
0.4,0.5,10.0,17.5,50.0,30.0,1.0,502,96.2240635628825
0.4,0.5,10.0,17.5,50.0,30.0,1.0,602,100.05393356428
0.4,0.5,10.0,17.5,50.0,30.0,1.0,702,99.8029094460566
0.4,0.5,10.0,17.5,50.0,15.0,1.0,2,0.249961700588315
0.4,0.5,10.0,17.5,50.0,15.0,1.0,102,17.8150949079927
0.4,0.5,10.0,17.5,50.0,15.0,1.0,202,40.1963633344391
0.4,0.5,10.0,17.5,50.0,15.0,1.0,302,59.9105488265727
0.4,0.5,10.0,17.5,50.0,15.0,1.0,402,73.3721141426146
0.4,0.5,10.0,17.5,50.0,15.0,1.0,502,74.877839200677
0.4,0.5,10.0,17.5,50.0,15.0,1.0,602,76.0231150549554
0.4,0.5,10.0,17.5,50.0,15.0,1.0,702,77.0788046363471
0.4,0.0,10.0,17.5,50.0,15.0,1.0,2,-0.138179321280032
0.4,0.0,10.0,17.5,50.0,15.0,1.0,102,-0.429906161336364
0.4,0.0,10.0,17.5,50.0,15.0,1.0,202,-0.209528164085938
0.4,0.0,10.0,17.5,50.0,15.0,1.0,302,-0.289319322840137
0.4,0.0,10.0,17.5,50.0,15.0,1.0,402,-0.271269260226936
0.4,0.0,10.0,17.5,50.0,15.0,1.0,502,0.467143780560885
0.4,0.0,10.0,17.5,50.0,15.0,1.0,602,-0.435628490531795
0.4,0.0,10.0,17.5,50.0,15.0,1.0,702,-0.398889224939073
0.4,0.0,10.0,17.5,50.0,20.0,1.0,2,-0.285273110061547
0.4,0.0,10.0,17.5,50.0,20.0,1.0,102,-0.257112726383872
0.4,0.0,10.0,17.5,50.0,20.0,1.0,202,-0.191443819699537
0.4,0.0,10.0,17.5,50.0,20.0,1.0,302,-0.378159540244703
0.4,0.0,10.0,17.5,50.0,20.0,1.0,402,-0.339203345537134
0.4,0.0,10.0,17.5,50.0,20.0,1.0,502,-0.211776941658604
0.4,0.0,10.0,17.5,50.0,20.0,1.0,602,-0.41785374072623
0.4,0.0,10.0,17.5,50.0,20.0,1.0,702,-0.216301978226443
0.4,0.0,10.0,17.5,50.0,30.0,1.0,2,-0.309849998293613
0.4,0.0,10.0,17.5,50.0,30.0,1.0,102,-0.286227614053293
0.4,0.0,10.0,17.5,50.0,30.0,1.0,202,-0.248528124340965
0.4,0.0,10.0,17.5,50.0,30.0,1.0,302,-0.127063105141871
0.4,0.0,10.0,17.5,50.0,30.0,1.0,402,-0.0398151534100875
0.4,0.0,10.0,17.5,50.0,30.0,1.0,502,-0.175826814010508
0.4,0.0,10.0,17.5,50.0,30.0,1.0,602,0.0213161409317047
0.4,0.0,10.0,17.5,50.0,30.0,1.0,702,-0.00109597891741617
0.4,0.5,7.5,17.5,50.0,20.0,1.0,2,0.531654755398341
0.4,0.5,7.5,17.5,50.0,20.0,1.0,102,21.2579823541189
0.4,0.5,7.5,17.5,50.0,20.0,1.0,202,46.2057759568037
0.4,0.5,7.5,17.5,50.0,20.0,1.0,302,69.0829007708956
0.4,0.5,7.5,17.5,50.0,20.0,1.0,402,87.6665974406071
0.4,0.5,7.5,17.5,50.0,20.0,1.0,502,99.9942600270089
0.4,0.5,7.5,17.5,50.0,20.0,1.0,602,100.142209481508
0.4,0.5,7.5,17.5,50.0,20.0,1.0,702,100.121821525624
0.4,0.5,5.0,17.5,50.0,10.0,1.0,2,1.13298272869108
0.4,0.5,5.0,17.5,50.0,10.0,1.0,102,31.9313160604642
0.4,0.5,5.0,17.5,50.0,10.0,1.0,202,64.4480415385521
0.4,0.5,5.0,17.5,50.0,10.0,1.0,302,87.2135749262186
0.4,0.5,5.0,17.5,50.0,10.0,1.0,402,89.6069089389625
0.4,0.5,5.0,17.5,50.0,10.0,1.0,502,91.441811855053
0.4,0.5,5.0,17.5,50.0,10.0,1.0,602,93.1411742102478
0.4,0.5,5.0,17.5,50.0,10.0,1.0,702,94.5181826121027
0.4,0.5,3.0,17.5,50.0,6.0,1.0,2,0.627528471681511
0.4,0.5,3.0,17.5,50.0,6.0,1.0,102,45.7920198732345
0.4,0.5,3.0,17.5,50.0,6.0,1.0,202,69.4458570848561
0.4,0.5,3.0,17.5,50.0,6.0,1.0,302,73.8782337797873
0.4,0.5,3.0,17.5,50.0,6.0,1.0,402,77.341186839183
0.4,0.5,3.0,17.5,50.0,6.0,1.0,502,80.3587013295216
0.4,0.5,3.0,17.5,50.0,6.0,1.0,602,82.9188109776973
0.4,0.5,3.0,17.5,50.0,6.0,1.0,702,85.1496155945157
0.4,0.5,5.0,17.5,50.0,20.0,1.0,2,0.0846228460363251
0.4,0.5,5.0,17.5,50.0,20.0,1.0,102,31.5158347162111
0.4,0.5,5.0,17.5,50.0,20.0,1.0,202,63.6915044863501
0.4,0.5,5.0,17.5,50.0,20.0,1.0,302,90.2125354068421
0.4,0.5,5.0,17.5,50.0,20.0,1.0,402,99.9388760435566
0.4,0.5,5.0,17.5,50.0,20.0,1.0,502,100.29114742603
0.4,0.5,5.0,17.5,50.0,20.0,1.0,602,100.549188355609
0.4,0.5,5.0,17.5,50.0,20.0,1.0,702,100.421250647348
0.4,0.5,3.0,17.5,50.0,20.0,1.0,2,1.15902568687964
0.4,0.5,3.0,17.5,50.0,20.0,1.0,102,49.4829061922293
0.4,0.5,3.0,17.5,50.0,20.0,1.0,202,90.8221689733213
0.4,0.5,3.0,17.5,50.0,20.0,1.0,302,100.664692326521
0.4,0.5,3.0,17.5,50.0,20.0,1.0,402,100.674925197756
0.4,0.5,3.0,17.5,50.0,20.0,1.0,502,100.030016151704
0.4,0.5,3.0,17.5,50.0,20.0,1.0,602,100.697526220055
0.4,0.5,3.0,17.5,50.0,20.0,1.0,702,101.328406068544
0.4,0.5,3.0,17.5,50.0,10.0,1.0,2,-0.0371805877832074
0.4,0.5,3.0,17.5,50.0,10.0,1.0,102,36.6899654281174
0.4,0.5,3.0,17.5,50.0,10.0,1.0,202,70.8442309829136
0.4,0.5,3.0,17.5,50.0,10.0,1.0,302,97.3279818712177
0.4,0.5,3.0,17.5,50.0,10.0,1.0,402,100.595371657805
0.4,0.5,3.0,17.5,50.0,10.0,1.0,502,100.547711772017
0.4,0.5,3.0,17.5,50.0,10.0,1.0,602,100.61657678751
0.4,0.5,3.0,17.5,50.0,10.0,1.0,702,100.211999763743
0.5,0.5,10.0,17.5,50.0,20.0,1.0,2,0.0963608001560439
0.5,0.5,10.0,17.5,50.0,20.0,1.0,102,19.1853772604097
0.5,0.5,10.0,17.5,50.0,20.0,1.0,202,40.4113171043849
0.5,0.5,10.0,17.5,50.0,20.0,1.0,302,58.1973865953758
0.5,0.5,10.0,17.5,50.0,20.0,1.0,402,70.9986531771634
0.5,0.5,10.0,17.5,50.0,20.0,1.0,502,79.7446246605629
0.5,0.5,10.0,17.5,50.0,20.0,1.0,602,86.5909529228809
0.5,0.5,10.0,17.5,50.0,20.0,1.0,702,91.6080466742211
0.4,1.0,10.0,17.5,50.0,20.0,1.0,2,0.954311296680297
0.4,1.0,10.0,17.5,50.0,20.0,1.0,52,15.2198447637408
0.4,1.0,10.0,17.5,50.0,20.0,1.0,102,29.5766040531081
0.4,1.0,10.0,17.5,50.0,20.0,1.0,152,44.0552060783062
0.4,1.0,10.0,17.5,50.0,20.0,1.0,202,58.9294930896241
0.4,1.0,10.0,17.5,50.0,20.0,1.0,252,71.8181474374348
0.4,1.0,10.0,17.5,50.0,20.0,1.0,302,83.4745601870564
0.4,1.0,10.0,17.5,50.0,20.0,1.0,352,93.1102833543065
0.4,2.0,10.0,17.5,50.0,20.0,1.0,2,2.85701301070946
0.4,2.0,10.0,17.5,50.0,20.0,1.0,52,36.058736976071
0.4,2.0,10.0,17.5,50.0,20.0,1.0,102,66.4515881563843
0.4,2.0,10.0,17.5,50.0,20.0,1.0,152,87.9421507911158
0.4,2.0,10.0,17.5,50.0,20.0,1.0,202,99.8685075825521
0.4,2.0,10.0,17.5,50.0,20.0,1.0,252,100.100758298935
0.4,2.0,10.0,17.5,50.0,20.0,1.0,302,100.122077392014
0.4,2.0,10.0,17.5,50.0,20.0,1.0,352,100.104997223457
0.4,4.0,10.0,17.5,50.0,20.0,1.0,2,5.28315710327549
0.4,4.0,10.0,17.5,50.0,20.0,1.0,27,27.1738744809301
0.4,4.0,10.0,17.5,50.0,20.0,1.0,52,51.2610396296154
0.4,4.0,10.0,17.5,50.0,20.0,1.0,77,71.3203668671703
0.4,4.0,10.0,17.5,50.0,20.0,1.0,102,90.2299161826295
0.4,4.0,10.0,17.5,50.0,20.0,1.0,127,100.046545079349
0.4,4.0,10.0,17.5,50.0,20.0,1.0,152,99.6723723975212
0.4,4.0,10.0,17.5,50.0,20.0,1.0,177,99.8041052773363
0.4,8.0,10.0,17.5,50.0,20.0,1.0,2,13.3807968137273
0.4,8.0,10.0,17.5,50.0,20.0,1.0,27,55.2720708468653
0.4,8.0,10.0,17.5,50.0,20.0,1.0,52,93.0756507295454
0.4,8.0,10.0,17.5,50.0,20.0,1.0,77,99.9595461948671
0.4,8.0,10.0,17.5,50.0,20.0,1.0,102,100.24420859219
0.4,8.0,10.0,17.5,50.0,20.0,1.0,127,100.291210905156
